address;source_location;insn;indent
0x4022b0;:0;PUSH	%RBP;
0x4022b1;:0;MOV	%RSP,%RBP;
0x4022b4;:0;AND	$-0x80,%RSP;
0x4022b8;:0;PUSH	%R12;
0x4022ba;:0;PUSH	%R13;
0x4022bc;:0;PUSH	%R14;
0x4022be;:0;PUSH	%R15;
0x4022c0;:0;PUSH	%RBX;
0x4022c1;:0;SUB	$0x1d8,%RSP;
0x4022c8;:0;MOV	%RSI,%R12;
0x4022cb;:0;MOV	%EDI,%EBX;
0x4022cd;:0;MOV	$0x3,%EDI;
0x4022d2;:0;MOV	$0x9d9ffe,%ESI;
0x4022d7;:0;CALL	40e9d0 <__intel_new_feature_proc_init>;
0x4022dc;:0;VSTMXCSR	(%RSP);
0x4022e1;:0;ORL	$0x8040,(%RSP);
0x4022e8;:0;VLDMXCSR	(%RSP);
0x4022ed;:0;CMP	$0x1,%EBX;
0x4022f0;:0;JLE	402302 <main+0x52>;
0x4022f2;:0;MOV	0x8(%R12),%RCX;
0x4022f7;:0;CALLQ	0x2fca3(%RIP);
0x4022fd;:0;MOV	%RAX,%R13;
0x402300;:0;JMP	402308 <main+0x58>;
0x402302;:0;MOV	$0x4000,%R13D;
0x402308;:0;LEA	(%R13,%R13,2),%R12;
0x40230d;:0;SAL	$0x3,%R12;
0x402311;:0;VXORPD	%XMM0,%XMM0,%XMM0;
0x402315;:0;MOV	%R12,%RDI;
0x402318;:0;VMOVSD	%XMM0,0x18(%RSP);
0x40231e;:0;VMOVSD	%XMM0,0x10(%RSP);
0x402324;:0;CALL	402140 <malloc@plt>;
0x402329;:0;MOV	%RAX,%RBX;
0x40232c;:0;XOR	%ECX,%ECX;
0x40232e;:0;MOV	%RBX,%RDX;
0x402331;:0;TEST	%R13,%R13;
0x402334;:0;JBE	402444 <main+0x194>;
0x40233a;:0;MOV	$0x1,%EAX;
0x40233f;:0;MOV	%RDX,%R14;
0x402342;:0;MOV	%RCX,%R15;
0x402345;:0;MOV	%RBX,(%RSP);
0x402349;:0;MOV	%R12,0x8(%RSP);
0x40234e;:0;MOV	%EAX,%R12D;
0x402351;:0;CALL	402150 <rand@plt>;(8) 
0x402356;:0;MOV	%EAX,%EBX;(8) 
0x402358;:0;CALL	402150 <rand@plt>;(8) 
0x40235d;:0;CMP	%EAX,%EBX;(8) 
0x40235f;:0;MOV	$-0x1,%EBX;(8) 
0x402364;:0;VXORPS	%XMM0,%XMM0,%XMM0;(8) 
0x402368;:0;CMOVA	%R12D,%EBX;(8) 
0x40236c;:0;VCVTSI2SS	%EBX,%XMM0,%XMM0;(8) 
0x402370;:0;VMOVSS	%XMM0,0x20(%RSP);(8) 
0x402376;:0;CALL	402150 <rand@plt>;(8) 
0x40237b;:0;VXORPS	%XMM0,%XMM0,%XMM0;(8) 
0x40237f;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(8) 
0x402383;:0;VMULSS	0xdd9d(%RIP),%XMM0,%XMM1;(8) 
0x40238b;:0;VMULSS	0x20(%RSP),%XMM1,%XMM2;(8) 
0x402391;:0;VMOVSS	%XMM2,(%R14);(8) 
0x402396;:0;CALL	402150 <rand@plt>;(8) 
0x40239b;:0;VXORPS	%XMM0,%XMM0,%XMM0;(8) 
0x40239f;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(8) 
0x4023a3;:0;VMULSS	0xdd7d(%RIP),%XMM0,%XMM1;(8) 
0x4023ab;:0;VMOVSS	%XMM1,0x4(%R14);(8) 
0x4023b1;:0;CALL	402150 <rand@plt>;(8) 
0x4023b6;:0;VXORPS	%XMM2,%XMM2,%XMM2;(8) 
0x4023ba;:0;VCVTSI2SS	%EAX,%XMM2,%XMM2;(8) 
0x4023be;:0;VMOVSS	0xdd62(%RIP),%XMM0;(8) 
0x4023c6;:0;VMULSS	0x20(%RSP),%XMM0,%XMM1;(8) 
0x4023cc;:0;VMULSS	%XMM2,%XMM1,%XMM3;(8) 
0x4023d0;:0;VMOVSS	%XMM1,0x28(%RSP);(8) 
0x4023d6;:0;VMOVSS	%XMM3,0x8(%R14);(8) 
0x4023dc;:0;CALL	402150 <rand@plt>;(8) 
0x4023e1;:0;VXORPS	%XMM0,%XMM0,%XMM0;(8) 
0x4023e5;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(8) 
0x4023e9;:0;VMULSS	0xdd37(%RIP),%XMM0,%XMM1;(8) 
0x4023f1;:0;VMOVSS	%XMM1,0xc(%R14);(8) 
0x4023f7;:0;CALL	402150 <rand@plt>;(8) 
0x4023fc;:0;VXORPS	%XMM0,%XMM0,%XMM0;(8) 
0x402400;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(8) 
0x402404;:0;VMULSS	0x28(%RSP),%XMM0,%XMM1;(8) 
0x40240a;:0;VMOVSS	%XMM1,0x10(%R14);(8) 
0x402410;:0;CALL	402150 <rand@plt>;(8) 
0x402415;:0;VXORPS	%XMM0,%XMM0,%XMM0;(8) 
0x402419;:0;INC	%R15;(8) 
0x40241c;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(8) 
0x402420;:0;VMULSS	0xdd00(%RIP),%XMM0,%XMM1;(8) 
0x402428;:0;VMOVSS	%XMM1,0x14(%R14);(8) 
0x40242e;:0;ADD	$0x18,%R14;(8) 
0x402432;:0;CMP	%R13,%R15;(8) 
0x402435;:0;JB	402351 <main+0xa1>;(8) 
0x40243b;:0;MOV	(%RSP),%RBX;
0x40243f;:0;MOV	0x8(%RSP),%R12;
0x402444;:0;MOV	%R12,%RDX;
0x402447;:0;MOV	%R12,%RCX;
0x40244a;:0;SHR	$0xa,%RDX;
0x40244e;:0;MOV	$0x410198,%EDI;
0x402453;:0;SHR	$0x14,%RCX;
0x402457;:0;MOV	%R12,%RSI;
0x40245a;:0;XOR	%EAX,%EAX;
0x40245c;:0;CALL	402030 <printf@plt>;
0x402461;:0;MOV	$0x4101d4,%EDI;
0x402466;:0;MOV	$0x4101f0,%ESI;
0x40246b;:0;MOV	$0x4101f8,%EDX;
0x402470;:0;MOV	$0x410200,%ECX;
0x402475;:0;MOV	$0x41020c,%R8D;
0x40247b;:0;XOR	%EAX,%EAX;
0x40247d;:0;CALL	402030 <printf@plt>;
0x402482;:0;MOV	0x40637(%RIP),%RDI;
0x402489;:0;CALL	4020d0 <fflush@plt>;
0x40248e;:0;VXORPS	%XMM1,%XMM1,%XMM1;
