address;source_location;insn;indent
0x4023a0;:0;PUSH	%RBP;
0x4023a1;:0;MOV	%RSP,%RBP;
0x4023a4;:0;AND	$-0x80,%RSP;
0x4023a8;:0;SUB	$0x100,%RSP;
0x4023af;:0;MOV	%RBX,0x80(%RSP);
0x4023b7;:0;MOV	%EDI,%EBX;
0x4023b9;:0;MOV	%R12,0x78(%RSP);
0x4023be;:0;MOV	%RSI,%R12;
0x4023c1;:0;MOV	$0x3,%EDI;
0x4023c6;:0;MOV	$0x9d9ffe,%ESI;
0x4023cb;:0;MOV	%R15,0x60(%RSP);
0x4023d0;:0;MOV	%R14,0x68(%RSP);
0x4023d5;:0;MOV	%R13,0x70(%RSP);
0x4023da;:0;CALL	40eb40 <__intel_new_feature_proc_init>;
0x4023df;:0;VSTMXCSR	(%RSP);
0x4023e4;:0;MOV	$0x432190,%EDI;
0x4023e9;:0;XOR	%ESI,%ESI;
0x4023eb;:0;ORL	$0x8040,(%RSP);
0x4023f2;:0;XOR	%EAX,%EAX;
0x4023f4;:0;VLDMXCSR	(%RSP);
0x4023f9;:0;CALL	402270 <__kmpc_begin@plt>;
0x4023fe;:0;MOV	$0x4321c0,%EDI;
0x402403;:0;CALL	402160 <__kmpc_global_thread_num@plt>;
0x402408;:0;MOV	%EAX,0x2c(%RSP);
0x40240c;:0;CMP	$0x1,%EBX;
0x40240f;:0;JLE	402421 <main+0x81>;
0x402411;:0;MOV	0x8(%R12),%RCX;
0x402416;:0;CALLQ	0x2fb84(%RIP);
0x40241c;:0;MOV	%RAX,%R12;
0x40241f;:0;JMP	402427 <main+0x87>;
0x402421;:0;MOV	$0x4000,%R12D;
0x402427;:0;LEA	(%R12,%R12,2),%R15;
0x40242b;:0;SAL	$0x3,%R15;
0x40242f;:0;VXORPD	%XMM0,%XMM0,%XMM0;
0x402433;:0;MOV	%R15,%RDI;
0x402436;:0;VMOVSD	%XMM0,0x50(%RSP);
0x40243c;:0;VMOVSD	%XMM0,0x48(%RSP);
0x402442;:0;CALL	402200 <malloc@plt>;
0x402447;:0;MOV	%RAX,%RBX;
0x40244a;:0;XOR	%EAX,%EAX;
0x40244c;:0;MOV	%RBX,%R14;
0x40244f;:0;TEST	%R12,%R12;
0x402452;:0;JBE	40255d <main+0x1bd>;
0x402458;:0;MOV	$0x1,%R13D;
0x40245e;:0;MOV	%RBX,(%RSP);
0x402462;:0;MOV	%R15,0x8(%RSP);
0x402467;:0;MOV	%RAX,%R15;
0x40246a;:0;CALL	402220 <rand@plt>;(7) 
0x40246f;:0;MOV	%EAX,%EBX;(7) 
0x402471;:0;CALL	402220 <rand@plt>;(7) 
0x402476;:0;MOV	$-0x1,%EDX;(7) 
0x40247b;:0;CMP	%EAX,%EBX;(7) 
0x40247d;:0;VXORPS	%XMM0,%XMM0,%XMM0;(7) 
0x402481;:0;CMOVA	%R13D,%EDX;(7) 
0x402485;:0;VCVTSI2SS	%EDX,%XMM0,%XMM0;(7) 
0x402489;:0;VMOVSS	%XMM0,0x10(%RSP);(7) 
0x40248f;:0;CALL	402220 <rand@plt>;(7) 
0x402494;:0;VXORPS	%XMM0,%XMM0,%XMM0;(7) 
0x402498;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(7) 
0x40249c;:0;VMULSS	0xdbf8(%RIP),%XMM0,%XMM1;(7) 
0x4024a4;:0;VMULSS	0x10(%RSP),%XMM1,%XMM2;(7) 
0x4024aa;:0;VMOVSS	%XMM2,(%R14);(7) 
0x4024af;:0;CALL	402220 <rand@plt>;(7) 
0x4024b4;:0;VXORPS	%XMM0,%XMM0,%XMM0;(7) 
0x4024b8;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(7) 
0x4024bc;:0;VMULSS	0xdbd8(%RIP),%XMM0,%XMM1;(7) 
0x4024c4;:0;VMOVSS	%XMM1,0x4(%R14);(7) 
0x4024ca;:0;CALL	402220 <rand@plt>;(7) 
0x4024cf;:0;VXORPS	%XMM2,%XMM2,%XMM2;(7) 
0x4024d3;:0;VCVTSI2SS	%EAX,%XMM2,%XMM2;(7) 
0x4024d7;:0;VMOVSS	0xdbbd(%RIP),%XMM0;(7) 
0x4024df;:0;VMULSS	0x10(%RSP),%XMM0,%XMM1;(7) 
0x4024e5;:0;VMULSS	%XMM2,%XMM1,%XMM3;(7) 
0x4024e9;:0;VMOVSS	%XMM1,0x18(%RSP);(7) 
0x4024ef;:0;VMOVSS	%XMM3,0x8(%R14);(7) 
0x4024f5;:0;CALL	402220 <rand@plt>;(7) 
0x4024fa;:0;VXORPS	%XMM0,%XMM0,%XMM0;(7) 
0x4024fe;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(7) 
0x402502;:0;VMULSS	0xdb92(%RIP),%XMM0,%XMM1;(7) 
0x40250a;:0;VMOVSS	%XMM1,0xc(%R14);(7) 
0x402510;:0;CALL	402220 <rand@plt>;(7) 
0x402515;:0;VXORPS	%XMM0,%XMM0,%XMM0;(7) 
0x402519;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(7) 
0x40251d;:0;VMULSS	0x18(%RSP),%XMM0,%XMM1;(7) 
0x402523;:0;VMOVSS	%XMM1,0x10(%R14);(7) 
0x402529;:0;CALL	402220 <rand@plt>;(7) 
0x40252e;:0;VXORPS	%XMM0,%XMM0,%XMM0;(7) 
0x402532;:0;INC	%R15;(7) 
0x402535;:0;VCVTSI2SS	%EAX,%XMM0,%XMM0;(7) 
0x402539;:0;VMULSS	0xdb5b(%RIP),%XMM0,%XMM1;(7) 
0x402541;:0;VMOVSS	%XMM1,0x14(%R14);(7) 
0x402547;:0;ADD	$0x18,%R14;(7) 
0x40254b;:0;CMP	%R12,%R15;(7) 
0x40254e;:0;JB	40246a <main+0xca>;(7) 
0x402554;:0;MOV	(%RSP),%RBX;
0x402558;:0;MOV	0x8(%RSP),%R15;
0x40255d;:0;MOV	%R15,%RDX;
0x402560;:0;MOV	%R15,%RCX;
0x402563;:0;SHR	$0xa,%RDX;
0x402567;:0;MOV	$0x4100f8,%EDI;
0x40256c;:0;SHR	$0x14,%RCX;
0x402570;:0;MOV	%R15,%RSI;
0x402573;:0;XOR	%EAX,%EAX;
0x402575;:0;CALL	402050 <printf@plt>;
0x40257a;:0;MOV	$0x410134,%EDI;
0x40257f;:0;MOV	$0x410150,%ESI;
0x402584;:0;MOV	$0x410158,%EDX;
0x402589;:0;MOV	$0x410160,%ECX;
0x40258e;:0;MOV	$0x41016c,%R8D;
0x402594;:0;XOR	%EAX,%EAX;
0x402596;:0;CALL	402050 <printf@plt>;
0x40259b;:0;MOV	0x4091e(%RIP),%RDI;
0x4025a2;:0;CALL	402120 <fflush@plt>;
0x4025a7;:0;VXORPS	%XMM1,%XMM1,%XMM1;
0x4025ab;:0;XOR	%R15D,%R15D;
0x4025ae;:0;VCVTSI2SS	%R12,%XMM1,%XMM1;
0x4025b3;:0;TEST	%R12,%R12;
0x4025b6;:0;JGE	4025d5 <main+0x235>;
0x4025b8;:0;MOV	%R12,%RDX;
0x4025bb;:0;MOV	%R12,%RAX;
0x4025be;:0;SHR	$0x1,%RAX;
0x4025c1;:0;AND	$0x1,%RDX;
0x4025c5;:0;OR	%RAX,%RDX;
0x4025c8;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x4025cc;:0;VCVTSI2SS	%RDX,%XMM0,%XMM0;
0x4025d1;:0;VADDSS	%XMM0,%XMM0,%XMM1;
0x4025d5;:0;MOV	%R12,%RAX;
0x4025d8;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x4025dc;:0;DEC	%RAX;
0x4025df;:0;VCVTSI2SS	%RAX,%XMM0,%XMM0;
0x4025e4;:0;JNS	402600 <main+0x260>;
0x4025e6;:0;MOV	%RAX,%RDX;
0x4025e9;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x4025ed;:0;SHR	$0x1,%RAX;
0x4025f0;:0;AND	$0x1,%RDX;
0x4025f4;:0;OR	%RAX,%RDX;
0x4025f7;:0;VCVTSI2SS	%RDX,%XMM0,%XMM0;
0x4025fc;:0;VADDSS	%XMM0,%XMM0,%XMM0;
0x402600;:0;VMULSS	%XMM0,%XMM1,%XMM0;
0x402604;:0;MOV	$0x3c23d70a,%R14D;
0x40260a;:0;VCVTSS2SD	%XMM1,%XMM1,%XMM1;
0x40260e;:0;VCVTSS2SD	%XMM0,%XMM0,%XMM0;
0x402612;:0;VMULSD	0xda66(%RIP),%XMM0,%XMM2;
0x40261a;:0;MOV	$0x1e3ce508,%R13D;
0x402620;:0;VFMADD231SD	0xda4f(%RIP),%XMM1,%XMM2;
0x402629;:0;VMOVSD	%XMM0,0x98(%RSP);
0x402632;:0;VMULSD	0xda36(%RIP),%XMM2,%XMM3;
0x40263a;:0;VCVTSD2SS	%XMM3,%XMM3,%XMM3;
0x40263e;:0;VMULSS	%XMM3,%XMM3,%XMM4;
0x402642;:0;VCVTSS2SD	%XMM3,%XMM3,%XMM1;
0x402646;:0;VCVTSS2SD	%XMM4,%XMM4,%XMM4;
0x40264a;:0;VMOVSD	%XMM4,0x58(%RSP);
0x402650;:0;VMOVSD	%XMM1,0x40(%RSP);
0x402656;:0;CALL	4020b0 <omp_get_wtime@plt>;(6) 
0x40265b;:0;VMOVSD	%XMM0,0xa0(%RSP);(6) 
0x402664;:0;MOV	$0x4321f0,%EDI;(6) 
0x402669;:0;XOR	%EAX,%EAX;(6) 
0x40266b;:0;MOV	%RBX,0x88(%RSP);(6) 
0x402673;:0;MOV	%R14D,0xb0(%RSP);(6) 
0x40267b;:0;MOV	%R12,0x90(%RSP);(6) 
0x402683;:0;MOV	%R13D,0xa8(%RSP);(6) 
0x40268b;:0;CALL	4021a0 <__kmpc_ok_to_fork@plt>;(6) 
0x402690;:0;TEST	%EAX,%EAX;(6) 
0x402692;:0;JE	402713 <main+0x373>;(6) 
0x402694;:0;MOV	$0x4321f0,%EDI;(6) 
0x402699;:0;LEA	0x38(%RSP),%R10;(6) 
0x40269e;:0;PUSH	%R10;(6) 
0x4026a0;:0;MOV	$0x11,%ESI;(6) 
0x4026a5;:0;LEA	-0x8(%R10),%R11;(6) 
0x4026a9;:0;PUSH	%R11;(6) 
0x4026ab;:0;LEA	-0x10(%R10),%RAX;(6) 
0x4026af;:0;PUSH	%RAX;(6) 
0x4026b0;:0;LEA	-0x4(%RAX),%RDX;(6) 
0x4026b4;:0;PUSH	%RDX;(6) 
0x4026b5;:0;MOV	$0x402988,%EDX;(6) 
0x4026ba;:0;LEA	-0x8(%RAX),%RCX;(6) 
0x4026be;:0;PUSH	%RCX;(6) 
0x4026bf;:0;LEA	-0xc(%RAX),%R8;(6) 
0x4026c3;:0;PUSH	%R8;(6) 
0x4026c5;:0;LEA	-0x10(%RAX),%R9;(6) 
0x4026c9;:0;PUSH	%R9;(6) 
0x4026cb;:0;LEA	-0x14(%RAX),%R10;(6) 
0x4026cf;:0;PUSH	%R10;(6) 
0x4026d1;:0;LEA	-0x18(%RAX),%R11;(6) 
0x4026d5;:0;PUSH	%R11;(6) 
0x4026d7;:0;LEA	-0x1c(%RAX),%RAX;(6) 
0x4026db;:0;PUSH	%RAX;(6) 
0x4026dc;:0;LEA	0xa4(%RAX),%RAX;(6) 
0x4026e3;:0;PUSH	%RAX;(6) 
0x4026e4;:0;LEA	-0x28(%RAX),%RAX;(6) 
