address;source_location;insn;indent
0x402710;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:264;VMOVSS	-0xc(%R10,%RAX,1),%XMM0;
0x402717;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:264;VFMADD213SS	-0xc(%RDI,%RAX,1),%XMM1,%XMM0;
0x40271e;:0;VMOVSS	%XMM0,-0xc(%RDI,%RAX,1);
0x402724;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:265;VMOVSS	-0xc(%RCX,%RAX,1),%XMM0;
0x40272a;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:265;VFMADD213SS	-0xc(%RBX,%RAX,1),%XMM1,%XMM0;
0x402731;:0;VMOVSS	%XMM0,-0xc(%RBX,%RAX,1);
0x402737;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:266;VMOVSS	-0xc(%RSI,%RAX,1),%XMM0;
0x40273d;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:266;VFMADD213SS	-0xc(%RDX,%RAX,1),%XMM1,%XMM0;
0x402744;:0;VMOVSS	%XMM0,-0xc(%RDX,%RAX,1);
0x40274a;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:268;VMOVSS	-0x8(%R10,%RAX,1),%XMM0;
0x402751;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:268;VFMADD213SS	-0x8(%RDI,%RAX,1),%XMM1,%XMM0;
0x402758;:0;VMOVSS	%XMM0,-0x8(%RDI,%RAX,1);
0x40275e;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:269;VMOVSS	-0x8(%RCX,%RAX,1),%XMM0;
0x402764;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:269;VFMADD213SS	-0x8(%RBX,%RAX,1),%XMM1,%XMM0;
0x40276b;:0;VMOVSS	%XMM0,-0x8(%RBX,%RAX,1);
0x402771;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:270;VMOVSS	-0x8(%RSI,%RAX,1),%XMM0;
0x402777;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:270;VFMADD213SS	-0x8(%RDX,%RAX,1),%XMM1,%XMM0;
0x40277e;:0;VMOVSS	%XMM0,-0x8(%RDX,%RAX,1);
0x402784;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:272;VMOVSS	-0x4(%R10,%RAX,1),%XMM0;
0x40278b;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:272;VFMADD213SS	-0x4(%RDI,%RAX,1),%XMM1,%XMM0;
0x402792;:0;VMOVSS	%XMM0,-0x4(%RDI,%RAX,1);
0x402798;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:273;VMOVSS	-0x4(%RCX,%RAX,1),%XMM0;
0x40279e;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:273;VFMADD213SS	-0x4(%RBX,%RAX,1),%XMM1,%XMM0;
0x4027a5;:0;VMOVSS	%XMM0,-0x4(%RBX,%RAX,1);
0x4027ab;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:274;VMOVSS	-0x4(%RSI,%RAX,1),%XMM0;
0x4027b1;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:274;VFMADD213SS	-0x4(%RDX,%RAX,1),%XMM1,%XMM0;
0x4027b8;:0;VMOVSS	%XMM0,-0x4(%RDX,%RAX,1);
0x4027be;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:276;VMOVSS	(%R10,%RAX,1),%XMM0;
0x4027c4;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:276;VFMADD213SS	(%RDI,%RAX,1),%XMM1,%XMM0;
0x4027ca;:0;VMOVSS	%XMM0,(%RDI,%RAX,1);
0x4027cf;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:277;VMOVSS	(%RCX,%RAX,1),%XMM0;
0x4027d4;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:277;VFMADD213SS	(%RBX,%RAX,1),%XMM1,%XMM0;
0x4027da;:0;VMOVSS	%XMM0,(%RBX,%RAX,1);
0x4027df;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:278;VMOVSS	(%RSI,%RAX,1),%XMM0;
0x4027e4;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:278;VFMADD213SS	(%RDX,%RAX,1),%XMM1,%XMM0;
0x4027ea;:0;VMOVSS	%XMM0,(%RDX,%RAX,1);
0x4027ef;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:262;INC	%R9;
0x4027f2;:0;ADD	$0x10,%RSI;
0x4027f6;:0;ADD	$0x10,%RDX;
0x4027fa;:0;ADD	$0x10,%RCX;
0x4027fe;:0;ADD	$0x10,%RBX;
0x402802;:0;ADD	$0x10,%RDI;
0x402806;:0;ADD	$0x10,%R10;
0x40280a;:0;CMP	%R11,%R9;
0x40280d;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:261;JB	402710 <move_particles+0x250>;
