address;source_location;insn;indent
0x4031a0;:0;PUSH	%RBP;
0x4031a1;:0;PUSH	%R15;
0x4031a3;:0;PUSH	%R14;
0x4031a5;:0;PUSH	%R13;
0x4031a7;:0;PUSH	%R12;
0x4031a9;:0;PUSH	%RBX;
0x4031aa;:0;SUB	$0x128,%RSP;
0x4031b1;:0;MOVL	$0,0x14(%RSP);
0x4031b9;:0;CMP	$-0x1,%R9;
0x4031bd;:0;JE	403747 <move_particles.extracted+0x5a7>;
0x4031c3;:0;MOV	%RCX,%RBP;
0x4031c6;:0;MOV	%RDX,%RBX;
0x4031c9;:0;MOV	%RDI,%R13;
0x4031cc;:0;MOV	(%RDI),%R15D;
0x4031cf;:0;MOVQ	$0,0x20(%RSP);
0x4031d8;:0;MOV	%R9,0x18(%RSP);
0x4031dd;:0;MOVQ	$0x1,0x28(%RSP);
0x4031e6;:0;SUB	$0x8,%RSP;
0x4031ea;:0;LEA	0x30(%RSP),%RAX;
0x4031ef;:0;LEA	0x1c(%RSP),%RCX;
0x4031f4;:0;LEA	0x28(%RSP),%R8;
0x4031f9;:0;LEA	0x20(%RSP),%R9;
0x4031fe;:0;MOV	$0x4311b0,%EDI;
0x403203;:0;MOV	%R15D,%ESI;
0x403206;:0;MOV	$0x22,%EDX;
0x40320b;:0;PUSH	$0x1;
0x40320d;:0;PUSH	$0x1;
0x40320f;:0;PUSH	%RAX;
0x403210;:0;CALL	4020f0 <__kmpc_for_static_init_8u@plt>;
0x403215;:0;ADD	$0x20,%RSP;
0x403219;:0;MOV	0x20(%RSP),%RAX;
0x40321e;:0;MOV	0x18(%RSP),%RCX;
0x403223;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x403227;:0;VXORPS	%XMM1,%XMM1,%XMM1;
0x40322b;:0;VXORPS	%XMM2,%XMM2,%XMM2;
0x40322f;:0;CMP	%RCX,%RAX;
0x403232;:0;JA	403637 <move_particles.extracted+0x497>;
0x403238;:0;MOV	(%RBX),%RDX;
0x40323b;:0;MOV	0x8(%RBX),%RSI;
0x40323f;:0;VMOVD	(%RDX,%RBP,4),%XMM3;
0x403244;:0;VMOVSS	(%RSI,%RBP,4),%XMM4;
0x403249;:0;MOV	0x10(%RBX),%RDI;
0x40324d;:0;VMOVD	(%RDI,%RBP,4),%XMM5;
0x403252;:0;MOV	%RCX,%R8;
0x403255;:0;SUB	%RAX,%R8;
0x403258;:0;INC	%R8;
0x40325b;:0;MOV	$-0x4,%EBX;
0x403260;:0;AND	%R8,%RBX;
0x403263;:0;JE	40356b <move_particles.extracted+0x3cb>;
0x403269;:0;VMOVDQU	%XMM3,0x50(%RSP);
0x40326f;:0;VPBROADCASTD	%XMM3,%XMM0;
0x403274;:0;VMOVDQU	%XMM0,0x80(%RSP);
0x40327d;:0;VMOVUPS	%XMM4,0x40(%RSP);
0x403283;:0;VBROADCASTSS	%XMM4,%XMM0;
0x403288;:0;VMOVUPS	%XMM0,0x70(%RSP);
0x40328e;:0;VMOVDQU	%XMM5,0x30(%RSP);
0x403294;:0;VPBROADCASTD	%XMM5,%XMM0;
0x403299;:0;VMOVDQU	%XMM0,0x60(%RSP);
0x40329f;:0;VMOVQ	%RAX,%XMM0;
0x4032a4;:0;VPBROADCASTQ	%XMM0,%YMM0;
0x4032a9;:0;VPADDQ	0xbdaf(%RIP),%YMM0,%YMM0;
0x4032b1;:0;VXORPS	%XMM4,%XMM4,%XMM4;
0x4032b5;:0;XOR	%EBP,%EBP;
0x4032b7;:0;VBROADCASTSD	0xbd70(%RIP),%YMM1;
0x4032c0;:0;VMOVUPS	%YMM1,0xe0(%RSP);
0x4032c9;:0;VXORPS	%XMM1,%XMM1,%XMM1;
0x4032cd;:0;VXORPS	%XMM2,%XMM2,%XMM2;
0x4032d1;:0;VMOVUPS	0x80(%RSP),%XMM8;
0x4032da;:0;VMOVUPS	0x60(%RSP),%XMM10;
0x4032e0;:0;VMOVDQU	%YMM0,0x100(%RSP);(5) 
0x4032e9;:0;VPSLLQ	$0x2,%YMM0,%YMM12;(5) 
0x4032ee;:0;VXORPS	%XMM9,%XMM9,%XMM9;(5) 
0x4032f3;:0;VPCMPEQD	%XMM3,%XMM3,%XMM3;(5) 
0x4032f7;:0;VGATHERQPS	%XMM3,(%RDX,%YMM12,4),%XMM9;(5) 
0x4032fd;:0;VXORPS	%XMM3,%XMM3,%XMM3;(5) 
0x403301;:0;VPCMPEQD	%XMM5,%XMM5,%XMM5;(5) 
0x403305;:0;VGATHERQPS	%XMM5,(%RSI,%YMM12,4),%XMM3;(5) 
0x40330b;:0;VPXOR	%XMM0,%XMM0,%XMM0;(5) 
0x40330f;:0;VPCMPEQD	%XMM6,%XMM6,%XMM6;(5) 
0x403313;:0;VXORPS	%XMM5,%XMM5,%XMM5;(5) 
0x403317;:0;VGATHERQPS	%XMM6,0x4(%RDX,%YMM12,4),%XMM0;(5) 
0x40331e;:0;VMOVUPS	%XMM0,0xd0(%RSP);(5) 
0x403327;:0;VPCMPEQD	%XMM6,%XMM6,%XMM6;(5) 
0x40332b;:0;VXORPS	%XMM0,%XMM0,%XMM0;(5) 
0x40332f;:0;VGATHERQPS	%XMM6,(%RDI,%YMM12,4),%XMM5;(5) 
0x403335;:0;VPCMPEQD	%XMM6,%XMM6,%XMM6;(5) 
0x403339;:0;VGATHERQPS	%XMM6,0x4(%RSI,%YMM12,4),%XMM0;(5) 
0x403340;:0;VMOVUPS	%XMM0,0xc0(%RSP);(5) 
0x403349;:0;VXORPS	%XMM0,%XMM0,%XMM0;(5) 
0x40334d;:0;VPCMPEQD	%XMM6,%XMM6,%XMM6;(5) 
0x403351;:0;VXORPS	%XMM7,%XMM7,%XMM7;(5) 
0x403355;:0;VGATHERQPS	%XMM6,0x8(%RDX,%YMM12,4),%XMM0;(5) 
0x40335c;:0;VMOVUPS	%XMM0,0xb0(%RSP);(5) 
0x403365;:0;VPCMPEQD	%XMM6,%XMM6,%XMM6;(5) 
0x403369;:0;VXORPS	%XMM0,%XMM0,%XMM0;(5) 
0x40336d;:0;VGATHERQPS	%XMM6,0x4(%RDI,%YMM12,4),%XMM7;(5) 
0x403374;:0;VMOVUPS	%XMM7,0x90(%RSP);(5) 
0x40337d;:0;VPCMPEQD	%XMM6,%XMM6,%XMM6;(5) 
0x403381;:0;VGATHERQPS	%XMM6,0x8(%RSI,%YMM12,4),%XMM0;(5) 
0x403388;:0;VMOVUPS	%XMM0,0xa0(%RSP);(5) 
0x403391;:0;VXORPS	%XMM14,%XMM14,%XMM14;(5) 
0x403396;:0;VXORPS	%XMM13,%XMM13,%XMM13;(5) 
0x40339b;:0;VPCMPEQD	%XMM15,%XMM15,%XMM15;(5) 
0x4033a0;:0;VPCMPEQD	%XMM0,%XMM0,%XMM0;(5) 
0x4033a4;:0;VGATHERQPS	%XMM15,0xc(%RDX,%YMM12,4),%XMM13;(5) 
0x4033ab;:0;VXORPS	%XMM15,%XMM15,%XMM15;(5) 
0x4033b0;:0;VPCMPEQD	%XMM7,%XMM7,%XMM7;(5) 
0x4033b4;:0;VGATHERQPS	%XMM0,0x8(%RDI,%YMM12,4),%XMM14;(5) 
0x4033bb;:0;VGATHERQPS	%XMM7,0xc(%RSI,%YMM12,4),%XMM15;(5) 
0x4033c2;:0;VXORPS	%XMM11,%XMM11,%XMM11;(5) 
0x4033c7;:0;VPCMPEQD	%XMM7,%XMM7,%XMM7;(5) 
0x4033cb;:0;VGATHERQPS	%XMM7,0xc(%RDI,%YMM12,4),%XMM11;(5) 
0x4033d2;:0;VSUBPS	%XMM8,%XMM9,%XMM12;(5) 
0x4033d7;:0;VMOVUPS	0x70(%RSP),%XMM9;(5) 
0x4033dd;:0;VSUBPS	%XMM9,%XMM3,%XMM3;(5) 
0x4033e2;:0;VSUBPS	%XMM10,%XMM5,%XMM0;(5) 
0x4033e7;:0;VMOVAPS	%XMM12,%XMM7;(5) 
0x4033eb;:0;VBROADCASTSS	0xbc18(%RIP),%XMM6;(5) 
0x4033f4;:0;VFMADD213PS	%XMM6,%XMM12,%XMM7;(5) 
0x4033f9;:0;VFMADD231PS	%XMM3,%XMM3,%XMM7;(5) 
0x4033fe;:0;VFMADD231PS	%XMM0,%XMM0,%XMM7;(5) 
0x403403;:0;VSQRTPS	%XMM7,%XMM5;(5) 
0x403407;:0;VMULPS	%XMM7,%XMM5,%XMM5;(5) 
0x40340b;:0;VFMADD231PS	%XMM12,%XMM5,%XMM2;(5) 
0x403410;:0;VFMADD231PS	%XMM3,%XMM5,%XMM1;(5) 
0x403415;:0;VFMADD231PS	%XMM0,%XMM5,%XMM4;(5) 
0x40341a;:0;VMOVUPS	0xd0(%RSP),%XMM0;(5) 
0x403423;:0;VSUBPS	%XMM8,%XMM0,%XMM7;(5) 
0x403428;:0;VMOVUPS	0xc0(%RSP),%XMM0;(5) 
0x403431;:0;VSUBPS	%XMM9,%XMM0,%XMM5;(5) 
0x403436;:0;VMOVUPS	0x90(%RSP),%XMM0;(5) 
0x40343f;:0;VSUBPS	%XMM10,%XMM0,%XMM0;(5) 
0x403444;:0;VMOVAPS	%XMM7,%XMM3;(5) 
0x403448;:0;VFMADD213PS	%XMM6,%XMM7,%XMM3;(5) 
0x40344d;:0;VMOVAPS	%XMM6,%XMM12;(5) 
0x403451;:0;VFMADD231PS	%XMM5,%XMM5,%XMM3;(5) 
0x403456;:0;VFMADD231PS	%XMM0,%XMM0,%XMM3;(5) 
0x40345b;:0;VSQRTPS	%XMM3,%XMM6;(5) 
0x40345f;:0;VMULPS	%XMM3,%XMM6,%XMM3;(5) 
0x403463;:0;VFMADD231PS	%XMM7,%XMM3,%XMM2;(5) 
0x403468;:0;VFMADD231PS	%XMM5,%XMM3,%XMM1;(5) 
0x40346d;:0;VMOVUPS	0xb0(%RSP),%XMM5;(5) 
0x403476;:0;VSUBPS	%XMM8,%XMM5,%XMM5;(5) 
0x40347b;:0;VFMADD231PS	%XMM0,%XMM3,%XMM4;(5) 
0x403480;:0;VMOVUPS	0xa0(%RSP),%XMM0;(5) 
0x403489;:0;VSUBPS	%XMM9,%XMM0,%XMM3;(5) 
0x40348e;:0;VSUBPS	%XMM10,%XMM14,%XMM6;(5) 
0x403493;:0;VMOVAPS	%XMM5,%XMM7;(5) 
0x403497;:0;VFMADD213PS	%XMM12,%XMM5,%XMM7;(5) 
0x40349c;:0;VFMADD231PS	%XMM3,%XMM3,%XMM7;(5) 
0x4034a1;:0;VFMADD231PS	%XMM6,%XMM6,%XMM7;(5) 
0x4034a6;:0;VSQRTPS	%XMM7,%XMM0;(5) 
0x4034aa;:0;VMULPS	%XMM7,%XMM0,%XMM0;(5) 
0x4034ae;:0;VFMADD231PS	%XMM5,%XMM0,%XMM2;(5) 
0x4034b3;:0;VFMADD231PS	%XMM3,%XMM0,%XMM1;(5) 
0x4034b8;:0;VSUBPS	%XMM8,%XMM13,%XMM3;(5) 
0x4034bd;:0;VSUBPS	%XMM9,%XMM15,%XMM5;(5) 
0x4034c2;:0;VFMADD231PS	%XMM6,%XMM0,%XMM4;(5) 
0x4034c7;:0;VSUBPS	%XMM10,%XMM11,%XMM0;(5) 
0x4034cc;:0;VMOVAPS	%XMM3,%XMM6;(5) 
0x4034d0;:0;VFMADD213PS	%XMM12,%XMM3,%XMM6;(5) 
0x4034d5;:0;VFMADD231PS	%XMM5,%XMM5,%XMM6;(5) 
0x4034da;:0;VFMADD231PS	%XMM0,%XMM0,%XMM6;(5) 
0x4034df;:0;VSQRTPS	%XMM6,%XMM7;(5) 
0x4034e3;:0;VMULPS	%XMM6,%XMM7,%XMM6;(5) 
0x4034e7;:0;VFMADD231PS	%XMM3,%XMM6,%XMM2;(5) 
0x4034ec;:0;VFMADD231PS	%XMM5,%XMM6,%XMM1;(5) 
0x4034f1;:0;VFMADD231PS	%XMM0,%XMM6,%XMM4;(5) 
0x4034f6;:0;VMOVDQU	0x100(%RSP),%YMM0;(5) 
0x4034ff;:0;VPADDQ	0xe0(%RSP),%YMM0,%YMM0;(5) 
0x403508;:0;ADD	$0x4,%RBP;(5) 
0x40350c;:0;CMP	%RBX,%RBP;(5) 
0x40350f;:0;JB	4032e0 <move_particles.extracted+0x140>;(5) 
0x403515;:0;VPERMILPD	$0x1,%XMM2,%XMM0;
0x40351b;:0;VADDPS	%XMM0,%XMM2,%XMM0;
0x40351f;:0;VMOVSHDUP	%XMM0,%XMM2;
0x403523;:0;VADDSS	%XMM2,%XMM0,%XMM2;
0x403527;:0;VPERMILPD	$0x1,%XMM1,%XMM0;
0x40352d;:0;VADDPS	%XMM0,%XMM1,%XMM0;
0x403531;:0;VMOVSHDUP	%XMM0,%XMM1;
0x403535;:0;VADDSS	%XMM1,%XMM0,%XMM1;
0x403539;:0;VPERMILPD	$0x1,%XMM4,%XMM0;
0x40353f;:0;VADDPS	%XMM0,%XMM4,%XMM0;
0x403543;:0;VMOVSHDUP	%XMM0,%XMM3;
